1710000,76617,70915
1720000,73207,71603
1730000,79591,60466
1740000,76630,65507
1750000,68575,70356
1760000,77797,75345
1770000,71159,77632
1780000,72505,85785
1790000,71571,73464
1800000,74349,71026
1810000,73631,71304
1820000,88623,82960
1830000,80878,74470
1840000,90132,80113
1850000,77273,83085
1860000,79045,85312
1870000,80767,78968
1880000,83036,82982
1890000,88568,90656
1900000,72667,89543
1910000,90591,82911
1920000,81079,87718
1930000,94278,83260
1940000,83418,88748
1950000,84581,90509
1960000,82774,86710
1970000,90888,88905
1980000,81077,92678
1990000,91155,86901
2000000,84383,90548
2010000,105203,87601
2020000,90089,86782
2030000,93716,86846
2040000,84088,85583
2050000,85293,81254
2060000,94361,99721
2070000,94651,86750
2080000,87786,91174
2090000,104726,80699
2100000,92817,103726
2110000,98905,102171
2120000,93939,101362
2130000,100283,96320
2140000,93893,86634
2150000,87969,99089
2160000,103611,103101
2170000,102726,98789
2180000,107033,100385
2190000,101136,100212
2200000,107555,100045
2210000,103632,113206
2220000,97951,103564
2230000,97085,103006
2240000,103920,109537
2250000,95685,103581
2260000,97292,109226
2270000,96841,101840
2280000,113589,111198
2290000,96537,116513
2300000,113834,112939
2310000,110018,119429
2320000,109264,116087
2330000,109460,116455
2340000,121042,114563
2350000,106736,106536
2360000,98599,106970
2370000,110240,108640
2380000,115476,121334
2390000,113524,113425
2400000,113710,109022
2410000,112648,126786
2420000,115559,132283
2430000,127834,118639
2440000,117199,116234
2450000,104851,122311
2460000,109333,117860
2470000,112272,121956
2480000,125993,116731
2490000,106801,134846
2500000,110000,123541
2510000,132125,116904
2520000,115514,124218
2530000,115450,117419
2540000,129818,143048
2550000,124809,134234
2560000,122172,134897
2570000,124393,136733
2580000,124043,129321
2590000,134320,139759
2600000,125909,126503
2610000,137772,135102
2620000,133116,139060
2630000,129459,132603
2640000,128816,147327
2650000,136208,132018
2660000,124272,137869
2670000,139018,151038
2680000,145350,143016
2690000,144953,145801
2700000,126334,141592
2710000,150732,150728
2720000,139607,158969
2730000,154033,154151
2740000,140899,148720
2750000,137765,151860
2760000,137564,159434
2770000,132476,165132
2780000,149303,147459
2790000,151964,154737
2800000,144409,152592
2810000,152876,150902
2820000,155853,152668
2830000,139498,159747
2840000,146448,168147
2850000,156033,134987
2860000,170558,169503
2870000,163743,159209
2880000,160304,154764
2890000,177530,181529
2900000,158493,172814
2910000,176745,157107
2920000,165137,170500
2930000,174923,191334
2940000,184190,183099
2950000,160064,174767
2960000,160813,171677
2970000,171207,205326
2980000,158091,176413
2990000,161353,185246
